Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,102.180000,105.879997,101.309998,105.330002,105.330002,0
2000-01-08,105.349998,107.309998,104.279999,105.879997,105.879997,0
2000-01-15,105.870003,107.400002,104.250000,104.720001,104.720001,0
2000-01-22,104.720001,107.250000,104.099998,107.059998,107.059998,0
2000-01-29,107.059998,109.040001,106.540001,107.180000,107.180000,0
2000-02-05,107.180000,109.750000,107.000000,108.800003,108.800003,0
2000-02-12,108.809998,111.230003,107.970001,110.849998,110.849998,0
2000-02-19,110.849998,111.730003,110.000000,110.150002,110.150002,0
2000-02-26,110.180000,110.620003,106.540001,107.680000,107.680000,0
2000-03-04,107.680000,108.099998,105.760002,106.220001,106.220001,0
2000-03-11,106.220001,106.790001,104.559998,106.660004,106.660004,0
2000-03-18,106.650002,107.790001,106.199997,106.989998,106.989998,0
2000-03-25,106.989998,107.150002,102.010002,102.959999,102.959999,0
2000-04-01,102.940002,105.750000,102.389999,105.449997,105.449997,0
2000-04-08,105.370003,107.139999,104.699997,104.760002,104.760002,0
2000-04-15,104.769997,105.879997,103.180000,105.800003,105.800003,0
2000-04-22,105.800003,108.309998,104.690002,108.150002,108.150002,0
2000-04-29,108.110001,109.620003,107.209999,108.580002,108.580002,0
2000-05-06,108.510002,110.029999,107.660004,108.320000,108.320000,0
2000-05-13,108.309998,110.019997,106.339996,106.910004,106.910004,0
2000-05-20,106.900002,107.949997,106.309998,107.110001,107.110001,0
2000-05-27,107.089996,109.000000,106.010002,107.949997,107.949997,0
2000-06-03,108.089996,108.269997,104.989998,106.849998,106.849998,0
2000-06-10,106.849998,107.150002,105.830002,106.349998,106.349998,0
2000-06-17,106.360001,106.489998,103.889999,104.610001,104.610001,0
2000-06-24,104.610001,106.370003,104.230003,106.010002,106.010002,0
2000-07-01,106.040001,107.940002,105.250000,107.879997,107.879997,0
2000-07-08,107.879997,108.459999,106.540001,107.809998,107.809998,0
2000-07-15,107.800003,109.180000,107.269997,108.970001,108.970001,0
2000-07-22,108.980003,109.779999,108.449997,109.629997,109.629997,0
2000-07-29,109.470001,109.790001,107.879997,108.580002,108.580002,0
2000-08-05,108.570000,109.230003,107.449997,108.459999,108.459999,0
2000-08-12,108.449997,109.650002,108.070000,108.269997,108.269997,0
2000-08-19,108.279999,108.750000,106.599998,106.800003,106.800003,0
2000-08-26,106.919998,107.059998,105.529999,105.949997,105.949997,0
2000-09-02,105.820000,106.500000,104.769997,106.110001,106.110001,0
2000-09-09,106.110001,107.730003,105.870003,107.260002,107.260002,0
2000-09-16,107.070000,108.129997,106.260002,108.000000,108.000000,0
2000-09-23,107.930000,108.470001,107.120003,108.129997,108.129997,0
2000-09-30,108.019997,109.580002,108.019997,108.730003,108.730003,0
2000-10-07,108.750000,109.110001,107.300003,107.699997,107.699997,0
2000-10-14,107.820000,109.150002,107.400002,108.830002,108.830002,0
2000-10-21,108.830002,109.040001,107.599998,108.529999,108.529999,0
2000-10-28,108.550003,109.269997,106.760002,106.949997,106.949997,0
2000-11-04,106.989998,107.980003,106.839996,107.830002,107.830002,0
2000-11-11,107.800003,109.089996,107.349998,108.779999,108.779999,0
2000-11-18,108.769997,111.389999,108.000000,111.230003,111.230003,0
2000-11-25,111.250000,112.010002,109.769997,111.190002,111.190002,0
2000-12-02,111.190002,111.430000,110.110001,110.900002,110.900002,0
2000-12-09,111.260002,112.809998,110.500000,112.419998,112.419998,0
2000-12-16,112.419998,113.150002,111.760002,112.800003,112.800003,0
2000-12-23,112.800003,115.080002,112.680000,114.379997,114.379997,0
2000-12-30,114.610001,116.870003,113.500000,116.449997,116.449997,0
2001-01-06,116.500000,118.559998,115.610001,118.470001,118.470001,0
2001-01-13,118.489998,119.849998,116.879997,117.129997,117.129997,0
2001-01-20,117.180000,118.449997,116.129997,117.320000,117.320000,0
2001-01-27,117.320000,117.739998,114.900002,115.629997,115.629997,0
2001-02-03,115.610001,117.750000,114.300003,117.500000,117.500000,0
2001-02-10,117.500000,117.930000,114.500000,115.720001,115.720001,0
2001-02-17,115.769997,117.180000,115.169998,115.750000,115.750000,0
2001-02-24,115.919998,119.290001,115.769997,119.050003,119.050003,0
2001-03-03,119.050003,120.379997,118.199997,119.540001,119.540001,0
2001-03-10,119.540001,123.160004,119.269997,122.919998,122.919998,0
2001-03-17,122.919998,124.300003,121.949997,122.830002,122.830002,0
2001-03-24,122.830002,126.320000,121.370003,126.230003,126.230003,0
2001-03-31,126.110001,126.820000,123.500000,123.730003,123.730003,0
2001-04-07,123.750000,125.470001,122.919998,123.500000,123.500000,0
2001-04-14,123.500000,124.919998,120.849998,122.330002,122.330002,0
2001-04-21,122.309998,124.320000,121.050003,124.019997,124.019997,0
2001-04-28,124.010002,124.190002,120.480003,121.279999,121.279999,0
2001-05-05,121.089996,122.820000,120.730003,122.370003,122.370003,0
2001-05-12,122.379997,124.029999,122.360001,123.510002,123.510002,0
2001-05-19,123.489998,123.760002,118.830002,120.589996,120.589996,0
2001-05-26,120.599998,121.360001,118.260002,119.209999,119.209999,0
2001-06-02,119.199997,120.980003,118.720001,120.849998,120.849998,0
2001-06-09,120.860001,123.239998,120.820000,122.870003,122.870003,0
2001-06-16,122.889999,124.699997,122.510002,124.459999,124.459999,0
2001-06-23,124.449997,124.970001,123.230003,124.500000,124.500000,0
2001-06-30,124.519997,126.129997,123.580002,125.820000,125.820000,0
2001-07-07,125.830002,125.959999,123.449997,124.860001,124.860001,0
2001-07-14,124.849998,125.660004,122.660004,122.860001,122.860001,0
2001-07-21,122.870003,124.470001,122.849998,123.459999,123.459999,0
2001-07-28,123.470001,125.360001,123.150002,123.599998,123.599998,0
2001-08-04,123.629997,124.250000,121.339996,121.949997,121.949997,0
2001-08-11,121.959999,123.150002,119.059998,120.190002,120.190002,0
2001-08-18,120.199997,120.940002,119.309998,119.980003,119.980003,0
2001-08-25,119.970001,120.800003,118.430000,118.750000,118.750000,0
2001-09-01,118.739998,121.519997,118.559998,120.000000,120.000000,0
2001-09-08,120.010002,122.050003,116.860001,117.320000,117.320000,0
2001-09-15,117.300003,118.349998,115.760002,116.589996,116.589996,0
